ORIG_ID	SENTENCE
798	Né possiamo pretendere daə cittadinə europeə di comportarsi bene nella politica ambientale e poi non applicare questa politica ad altri paesi.
799	La seconda parte si avrà a dicembre, quando ə nostrə collegə della commissione per i bilanci, ma poi alla fine tutto il Parlamento, dovranno scegliere a favore di un adeguato supporto finanziario per questo regolamento.
800	Sono appena tornatə dall'ultima riunione sulla Carta dei diritti fondamentali svoltasi a Bruxelles.
801	La questione resta peraltro di competenza delle Nazioni Unite e dell'inviatə personale dellə Segretariə generale, di cui merita supporto la costanza in materia.
802	Personalmente, sono convintə che nelle discussioni sulla data delle prime adesioni l'Unione debba evitare la moltiplicazione degli annunci ad effetto, e con tutto il rispetto dovuto ciò vale anche per il Parlamento europeo.
803	Il Marocco ha quindi inviato lə propriə Ministrə per gli affari esteri e la cooperazione a New York il 26 ottobre, affinché fosse sentitə in seduta privata dal Consiglio di sicurezza, dopo l'audizione dellə Segretariə generale del Polisario del 19 ottobre.
804	Alcuni Stati membri sembrano confondere ə richiedenti asilo e ə immigratə clandestinə.
805	Sono prontə, naturalmente, a seguire l'importantissima discussione che oggi ci vede qui riuniti.
806	A questə prigionierə non viene consentito di scegliere chi lə rappresenterà legalmente.
807	Noi politicə dobbiamo entrare a pieno titolo in questo dibattito e non lasciarlo esclusivamente alle burocrazie. Benché sia indispensabile un esame dettagliato dell'acquis, infatti, questo non basta a suscitare la partecipazione del pubblico.
808	L'oratorə che mi ha precedutə ha parlato di una sorta di piano Marshall per questa regione.
809	In secondo luogo, ə oratorə che mi hanno precedutə hanno lamentato il fatto che l'Unione europea paga, mentre l'America si fa sentire.
810	Oltre ad adottare tre importanti documenti, ə leader che hanno preso parte al vertice sono statə impegnatə attivamente nel discutere questioni delicate quali i diritti umani, il mare della Cina meridionale, Timor Est e la Birmania.
811	Ə leader hanno approvato per il 2000 un quadro di cooperazione tra Europa e Asia più ampio e aggiornato, che rappresenta il programma di lavoro per il prossimo decennio.
812	Nel contesto dell'ASEM III non si è tuttavia discusso di nessunə candidatə in particolare.
813	Ə leader hanno altresì confermato l'impegno a preparare volontariamente delle relazioni annuali che diano conto degli sforzi compiuti al fine di superare le barriere al commercio individuate nel relativo piano d'azione.
814	Sul piano sociale e culturale ə leader hanno constatato l'assoluta necessità di creare specifiche iniziative a carattere didattico finalizzate alla promozione di una coscienza comune, tra cui una più intensa cooperazione tra gli ambienti accademici e il collegamento elettronico tra gli istituti scolastici.
815	Ə leader hanno infine convenuto sulla necessità di favorire contatti più intensi tra parlamentari, come stabilito nel quadro di cooperazione.
816	Sarebbe auspicabile che questo Parlamento e alcunə suə collegə della Commissione riconoscessero la rilevanza dei rapporti tra Asia e Europa e li ponessero giustamente in relazione anche con la politica della pesca dell'Unione europea.
817	Nell'interesse dell'ambiente, ma anche deə pescatorə, dobbiamo mirare ad assicurare uno sfruttamento sostenibile delle risorse della pesca.
818	Tale questione è stata peraltro fonte di aspri disaccordi tra pescatorə, da una parte, ed espertə scientificə, dall'altra.
819	In certa misura quellə di noi che sono politicə si trovano in una posizione intermedia.
820	Non siamo né pescatorə né scienziatə e cerchiamo di trovare la via e la verità tra ciò che le due parti ci riferiscono.
821	Concordo con tuttə coloro che affermano la necessità di più organizzazioni regionali e condivido anche il parere dellə collega e di chi afferma che la Commissione deve svolgere un ruolo adeguato al loro interno.
822	Vengo ora alla partecipazione al sistema deə allevatorə specializzatə nella produzione di lattonzoli, proposta dagli emendamenti numero 7 e 13.
823	Vi chiedo pertanto di esercitare pressioni sulla Commissione affinché presenti quanto prima proposte di regolamento volte ad assicurare aə cittadinə gli stessi diritti di coloro che trasportano merci, nel caso in cui sia loro impedito di esercitare la libertà di circolazione a cui hanno diritto.
824	Le chiedo maggior rigore, affinché si possa dire aə cittadinə europeə che il loro denaro è ben amministrato.
825	Possiamo anche iniziare a valutare ə commissariə e dare loro dei voti in funzione del rendimento.
826	Inoltre esorto ə ministrə, ə Capə di stato e di governo ad approvare a Nizza la proposta di istituire una procura europea.
827	Insieme a tuttə ə miə collegə, desidero esprimere il mio compiacimento per questa relazione annuale, che viene presentata con spirito costruttivo.
828	Dovremmo ricordarci che le risorse dell'Unione provengono direttamente o indirettamente daə cittadinə europeə.
829	Dobbiamo garantire che il denaro deə cittadinə europeə sia ben speso.
830	Quest'analisi deve indurre noi parlamentari europeə, ma anche la Commissione, a formulare proposte per migliorare i sistemi di gestione e di controllo finanziario negli Stati membri, che dal canto loro sono tenuti ad istituirli per garantire la tutela degli interessi finanziari dell'Unione.
831	Un esempio: in molti settori oggi i prodotti non vengono più assemblati dallə produttorə, ma vengono forniti allə distributorə in componenti separati.
832	Produttorə responsabile viene quindi consideratə chiunque, nella catena di commercializzazione, possa incidere sulle caratteristiche di sicurezza del prodotto e ciò fa sì che tuttə ə distributorə che eseguono anche operazioni di montaggio siano considerati tali.
833	A dire il vero mi ha stupito che ə espertə della Commissione non abbiano risolto da solə tale problema e confido che lə nuovə Commissariə rifletta ancora su questo problema.
834	Per questo chiedo allə Ministrə e allə Commissariə di tenerne conto nella lunghezza dei loro interventi.
835	Grazie, perché tutte le direttive sulla sicurezza sono rivolte a far star bene noi cittadinə europeə, a cominciare daə minori, daə bambinə per finire aə anzianə.
836	Sono natə in un periodo e in un paese in cui non vi è un motivo diretto per pensare alla guerra e alla devastazione.
837	Gli obblighi deə distributorə, previsti dalla direttiva fin dal 1992, sono formulati in maniera molto generica e flessibile.
838	Da trent'anni sono unə socialista in Italia e nelle organizzazioni internazionali.
839	Rielettə in questo Parlamento nel giugno del '99, ho naturalmente aderito al gruppo socialista.
840	Evidentemente per l'oratorə se si è socialistə italianə non si può più far parte del gruppo socialista europeo.
841	Mi è stato affidato il compito di fungere da relatorə per l'Estonia.
842	Per quanto riguarda il rispetto della dignità deə immigratə legali, nello spirito di una politica europea armonizzata in materia d'immigrazione, oltre agli strumenti giuridici per garantire loro un trattamento equo, bisognerebbe creare strumenti di aiuto finanziario per tuttə quellə giovani che, avendo terminato un ciclo di studi, superiore o universitario, nei paesi europei, desiderassero rientrare nei loro paesi di provenienza per iniziare un'attività professionale.
843	Unə sottufficiale di stato maggiore della Bundeswehr è statə licenziatə per affermazioni razziste e tre dirigenti della polizia di Colonia sono statə sospesə dal servizio per aver insultato unə tassista tunisinə.
844	Mi hanno impressionatə la notevole concordia politica e la capacità di guida dellə primə ministrə Mart Laar.
845	Eppure, moltə politicə dell'Unione paiono più interessatə a un'Unione sempre più complessa e a innalzare lo standard.
846	Si deve infatti impedire che ə produttorə siano vittime della fluttuazione ciclica del mercato.
847	Ə parenti ebreə furono vittime dell'olocausto, quellə tedescə di Boemia, compresə ə ebreə, furono scacciatə dalla Boemia dopo la seconda guerra mondiale.
848	Vogliono offrire aə loro antenatə vittime del genocidio una "sepoltura morale".
849	Inoltre, riteniamo che debbano essere liberatə tuttə ə prigionierə politicə, non solo quellə curdə.
850	In questo non rientra soltanto emanare una legge per il pubblico impiego, bensì anche prevedere un'adeguata remunerazione e opportunità per ə giovani assuntə nelle amministrazioni.
851	Sono infatti ə stessə medicə, ə stessə infermierə, gli stessi centri sanitari e le stesse risorse ospedaliere a essere mobilitate, a prescindere dal fatto che ci si vada come solventi o come assistitə.
852	È perché l'assistenza pubblica viene pagata prima di curare lə malatə, mentre l'assistenza privata viene pagata dopo e soltanto se ha curato lə malatə.
853	Perciò, insieme aə miə amicə pensionatə io chiedo allə Commissariə Diamantopoulou che metta ləi il camice bianco da medicə che cura l'assistenza medica malata dell'Unione europea, e ci faccia stare meglio.
854	Per concludere vorrei ringraziare per la preziosa collaborazione ə collegə membri della commissione per l'occupazione e gli affari sociali, ə relatorə di altre commissioni, il Comitato economico e sociale e il Comitato delle regioni, le ONG impegnate in ambito sociale ed ə tecnicə che hanno collaborato con me in rappresentanza della Commissione, della Presidenza francese e del Parlamento.
855	Sono molto gratə allə Commissariə Verheugen per il chiarimento apportato sulla questione della chiusura delle centrali nucleari.
856	Si tratta di un'ottima opportunità per far capire aə cittadinə europeə che l'Europa sociale è già nata: non è più un auspicio o uno slogan, ma è realtà.
857	Ə cittadinə sanno, perché non si mente al popolo impunemente, che la crisi è grave.
858	Ə relatorə dei vari paesi vengono spesso rimproveratə di essere diventatə ambasciatorə non retribuitə del paese candidato di cui sono responsabili, di essere accecatə dall'amore.
859	Tutto questo deve essere fatto in un clima di trasparenza e correttezza in modo che ə cittadinə non si sentano raggiratə o vittime sacrificali sull'altare di grandi interessi economici.
860	Ə allevatorə alimentano i loro animali con i prodotti loro forniti dalle industrie, così come avvenne qualche mese fa in Belgio con il pollo alla diossina.
861	Ieri ə coordinatorə dei diversi gruppi rappresentati nella commissione per l'agricoltura hanno trovato un accordo sulla proposta di destinare alla lotta contro l'ESB 600 milioni di euro attingendoli al margine di 1,3 miliardi di euro che tuttora c'è nel bilancio per l'agricoltura.
862	Lə Ministrə ha detto che le farine animali erano un alimento a basso costo.
863	Numerosə oratorə hanno affermato che dobbiamo estendere il divieto di utilizzare le farine di carne ed ossa per l'alimentazione di tutti i mammiferi.
864	Forse dovremmo anche pensare alle vittime ed aə numerosə familiari delle persone morte del morbo di Creutzfeldt-Jacob.
865	Mi associo a quanto ha detto lə Commissariə Verheugen in proposito.
866	Assieme a tuttə ə collegə chiedo che non si attenda fino al luglio 2001, ma di applicare tale divieto sin d'ora, con decorrenza quasi immediata.
867	Perciò, nell'interesse del mercato interno e al fine di rafforzare la fiducia deə consumatorə, invito ad introdurre un divieto assoluto ed immediato.
868	Non sono mai statə convintə della validità dell'argomento sostenuto dalla Francia secondo cui la politica dell'eliminazione delle intere mandrie costituiva il modo giusto per affrontare le epidemie di ESB nel paese.
869	Oltre un anno fa, 16 deə migliori scienziatə europeə, presiedutə da unə francese, hanno dichiarato che la carne britannica è sicura per il consumo in tutta Europa e malgrado ciò la Francia ha mantenuto il blocco delle importazioni di carne bovina britannica.
870	Alla luce dei recenti e frequenti casi di espulsione di immigratə in diversi Stati membri, in cui non sono stati rispettati i più elementari diritti umani, la Commissione dovrebbe prestare particolare attenzione a tale problema.
871	Come può vedere, tuttə ə deputatə, quasi senza eccezioni, hanno la vocazione di Commissariə e vogliono spiegarci i problemi.
872	Tuttavia, l'interdizione aə cittadinə non ungheresi di acquistare terreni agricoli costituisce un ostacolo alla fissazione di un prezzo equo per quelle stesse terre.
873	Per concludere, credo che non potremo lottare efficacemente contro l'esclusione sociale se non garantendo a tuttə l'accesso ai diritti fondamentali, poiché tali diritti rappresentano la condizione stessa affinché a ciascunə siano riconosciute dignità ed effettiva partecipazione alla cittadinanza.
874	Moltə anzianə sarebbero d'accordo su questo punto, così come coloro che hanno lavorato a ore con un basso salario, che non consente una vita decorosa, ad esempio, ə lavoratorə agricolə.
875	Desidero concludere in breve riferendomi alle preoccupazioni manifestate da alcunə collegə in sede di commissione per gli affari esteri, i diritti umani, la sicurezza comune e la politica di difesa, sulle centrali nucleari d'origine sovietica.
876	Tale percentuale corrisponde a quasi 75 milioni di cittadinə europeə.
877	Il divario tra riccə e poverə si sta evidentemente allargando, ma purtroppo non mi è possibile partecipare a queste discussioni, poiché sono obbligatə a concentrarmi sul programma proposto e sul modo in cui potremo cooperare per attuarlo a livello europeo.
878	Infine condivido l'idea di sottolineare l'importanza delle ONG nonché deə operatorə regionali e locali, come da voi suggerito, e di riflettere meglio la loro esperienza sul campo.
879	Collegə, questa direttiva è ricca di significato.
880	Ritengo sia dovere di unə politicə prevenire i problemi.
881	Da noi non si fa credere aə altrə che utilizzando la torba l'anidirde carbonica diminuisce, si tratta invece di un combustibile che si trova nel nostro paese, mentre petrolio e gas sono importati.
882	La formazione di un gruppo ad alto livello è una misura che raccomando aə miə collegə.
883	Pensiamo che ə nostrə amicə della sinistra e deə Verdi stiano chiedendo troppo a questo riguardo.
884	In quanto socialdemocraticə riteniamo che si debba dare un'opportunità all'energia sostenibile.
885	Sono statə consideratə come prigionierə.
886	Oltre a conquistare la fiducia deə cittadinə nelle nostre istituzioni pubbliche, dobbiamo persuaderlə a fidarsi delle Istituzioni europee, le quali, in quasi cinquant'anni di esistenza, hanno dato aə loro cittadinə pace e prosperità durature.
887	Abbiamo bisogno dell'assistenza e del sostegno dell'Europa per garantire il ritorno deə profugə kosovarə alle loro famiglie quanto prima possibile, nello spirito delle migliori tradizioni democratiche.
888	Come ben sapete, abbiamo bisogno di un aiuto enorme per ricostruire le abitazioni distrutte, cosicché ə profugə abbiano un posto cui tornare.
889	Forse ə cittadinə dell'Unione europea possono comprenderle meglio evocando la loro memoria storica e gli anni lontani del secondo dopoguerra, quando le prospettive per l'intero continente e per la stessa civiltà europea erano estremamente precarie.
890	Allora, ə vostrə coraggiosə predecessorə si sono imbarcatə in un progetto incerto che ha dato frutti storici.
891	Voi, onorevoli deputatə del Parlamento europeo, che rappresentate direttamente ə cittadinə degli Stati membri, ə cittadinə d'Europa, siete nella migliore posizione per comprendere perché la possibilità stessa di essere ammessə in Europa, a noi, cittadinə dell'odierna Repubblica federale di Jugoslavia, sembri estremamente incerta.
892	Da anni alcuni membri del Parlamento avevano avanzato una richiesta in tal senso.
893	Il Parlamento diviene così un anello fra Consiglio e cittadinə. Proprio per questa ragione riteniamo che tale proposta ben s'inserisca nel contesto del regolamento.
894	Tutti gli studi hanno dimostrato che la distanza tra lə cittadinə europeə e Bruxelles è grande, e lə cittadinə ritiene di sapere troppo poco dell'Unione europea.
895	Ə cittadinə devono essere tutelatə.
896	Vorrei ribadire che tuttə ə cittadinə devono poter accedere ai documenti nel maggior numero di forme possibile.
897	Ə cittadinə devono poter sapere come il proprio governo ha votato su questioni di estrema importanza.
898	Ma il diritto dellə cittadinə di difendersi dalla pubblica amministrazione impone l'informazione.
899	In molti casi, obbligare le Istituzioni a diffondere queste note interne potrebbe indurre una certa confusione tra ə cittadinə.
900	Noi liberali, e con noi altrə in questo Parlamento, vogliamo ribadire con chiarezza che auspichiamo un miglioramento delle norme in materia di accesso del pubblico ai documenti.
901	Non è corretto, invece, rinviare una votazione perché ə collegə non possono essere presenti la sera.
902	Nel timore di diffondere panico fra ə cittadinə, o per la preoccupazione di evitare catastrofi commerciali, alcuni governi non hanno trasmesso in tempo utile le informazioni dovute alla Commissione o non hanno provveduto, al primo manifestarsi dei pericolosi fenomeni, a bloccare immediatamente il consumo dei prodotti in questione e a vietarne l'esportazione.
903	È infatti responsabilità deə politicə prendere in considerazione le situazioni umane derivanti da tali difficoltà.
904	Se infatti, ad esempio, ci fossero pensioni meno insufficienti per vivere, ci sarebbero meno poverə.
905	Non abbiamo votato contro per le buone intenzioni espresse dall'autorə.
906	In altri termini, 1,5 euro per poverə!
907	Sono lietə dell'iniziativa presa, che risponde alle aspettative deə cittadinə europeə.
908	Un numero troppo elevato di cittadinə è colpito dall'emarginazione.
909	In effetti sono sempre più numerosə ə scienziatə e ə meteorologə che non nascondono i loro timori dinanzi alle conseguenze dei gas a effetto serra e anche ə cittadinə cominciano a rendersene conto.
910	Espertə internazionali hanno appurato che la torba è un importante combustibile biologico ed ogni anno la sua produzione supera nettamente il consumo.
911	Oggi, in questa sede, qualcunə ha affermato che stando all'ultimo Eurobarometro per il 60 percento deə intervistatə l'ampliamento non rappresenta una priorità.
912	La politica regionale, la politica europea della solidarietà è, fra le politiche comuni, quella che suscita maggiori consensi fra ə cittadinə, la più apprezzata.
913	In un mercato liberalizzato ə cittadinə più abbienti e più attentə alle problematiche ambientali avranno la possibilità di contribuire a un'energia più pulita, mentre per ə altrə la situazione rimarrà la stessa.
914	La conclusione emersa non lascia adito a dubbi: le assemblee democraticamente elette sono state lasciate ai margini del processo ASEM, in cui però sono pienamente e sistematicamente coinvolte le persone d'affari!
915	Questo è quanto chiedono oggi sia ə responsabili politicə sia le popolazioni locali.
916	Ə Conservatorə condannano fermamente tutti gli atti di violenza perpetrati nel periodo delle elezioni e si rammaricano delle vittime che essi hanno causato.
917	Ə leader politicə, militari e religiosə devono impegnarsi con ogni mezzo a favore della riconciliazione nazionale.
918	Dovrà essere approvata una carta costituzionale che garantisca i diritti deə cittadinə e dei partiti politici ed escluda ogni forma di abuso di potere.
919	La Comunità europea sosterrà finanziariamente l'organizzazione di questo scrutinio e invierà un centinaio di osservatorə.
920	A quanto ci risulta, il numero deə prigionierə politicə è recentemente passato da 1500 a 3000 e moltə di essǝ sono statə mandatə ai lavori forzati e subiscono crudeli torture.
921	D'altro canto, non confido nella capacità deə nostrə Ministrə di trovare una soluzione alla questione.
922	Moltə di loro sono statə arrestatə o vengono perseguitatə; si è anche tentato di chiudere le sedi del partito in Birmania.
923	Si è quasi tentatə di invitare questə anzianə leader ad aprire la porta e a lasciare entrare il successo.
924	Posso condividere in molti punti essenziali gli interventi deə oratorə che mi hanno precedutə, poiché ciò che sta succedendo in Vietnam è in buona parte inaccettabile.
925	Decine di migliaia di prigionierə politicə sono statə rilasciatə.
926	Esemplificativo è il caso della promozione di unə funzionariə distrettuale, la cui collera ha provocato la fuga di centinaia di cristianə.
927	Mi appello aə collegə di tutte le commissioni e dei diversi gruppi, chiedendo loro di essere estremamente cautə allorché, giorno dopo giorno, decidono di pregiudicare la dignità e la sostanza del lavoro di quest'Assemblea.
928	Tutto il resto offrirebbe così ampie possibilità aə assicuratorə privatə alla sola condizione di non selezionare (all'inizio) ə malatə e i premi di assicurazione in funzione delle patologie.
929	Mi sorprende che l'onorevole Rocard, che conosco da molto tempo come lə leader di un partito socialista di sinistra, sia contentə dello sviluppo di un mercato unico nel settore dell'assistenza sanitaria privata.
930	Non dobbiamo discriminare ə cittadinə che sottoscrivono polizze assicurative private in materia di sanità.
931	Faccio rilevare sul venerdì che l'interrogazione orale relativa aə insegnanti di lingua, pervenuta all'ordine del giorno con molto ritardo, non contiene la proposta di risoluzione allegata.
932	Esorto quindi tuttə ə collegə, e in particolare il gruppo socialista, a rivedere le proprie posizioni in materia e a considerare piuttosto quali elementi di garanzia vorrebbero introdurre nella legislazione primaria per consentire la delega dei poteri.
933	Se vi sono discrepanze, lə candidatə dovrà avere la facoltà di chiedere chiarimenti.
934	Ə funzionariə di più alto rango devono assicurare che il merito sia giustamente retribuito e che tutti i posti vacanti, anche quelli di più alto rango, siano pubblicati dalla Gazzetta ufficiale e su Internet.
935	A nostro avviso, è legittimo che unə candidatə possa prendere visione del proprio elaborato corretto, poiché l'accesso ai documenti è un diritto fondamentale, riconosciuto peraltro dalla Carta dei diritti fondamentali che è stata adottata nella settimana in corso.
936	Riteniamo parimenti del tutto lecito che lə candidatə possa portarsi via, al termine dell'esame, il testo dei quesiti posti nell'ambito della prova.
937	Consentire aə candidatə di prendere visione dei propri elaborati d'esame corretti è un accorgimento semplice che riuscirà ad aumentare la trasparenza e la fiducia nella procedura per l'assunzione deə funzionariə pubblicə europeə.
938	Ə candidatə non sono notə, vale a dire che non sono identificatə per nome, ma mediante un codice segreto.
939	Abbiamo sentito lə relatorə. Ora ci occorrono unə oratorə favorevole ed unə contrariə.
940	Pertanto stiamo per dare il via alla formazione della prossima generazione di agenti di polizia destinati a lavorare e operare nell'ambito europeo, preparandolə all'applicazione del diritto dell'UE e delle azioni comuni e comunitarie.
941	L'ampliamento dell'UE, con la conseguente estensione dell'ambito della libera circolazione deə cittadinə, dovrebbe essere accompagnato da misure complementari finalizzate alla sicurezza e alla convivenza pacifica tra gli Stati membri.
942	Se noi europeə riusciremo in tal senso avremo un'Accademia di polizia di cui andare fierə.
943	Devo dire però in tutta sincerità che sono rimastə un po' perplessə.
944	Non si capisce però la posizione deə collegə socialistə.
945	Di fatto qualcunə ha fatto notare che quando mercoledì sera lə Commissariə ha parlato dell'ESB erano presenti in Aula solo 17 persone.
946	Noi stessə come deputatə ne siamo spesso vittime.
947	Parte della soluzione risiede in una drastica limitazione del diritto di interpellare lə giudice per contrastare una sentenza emessa in un paese straniero.
948	Il regolamento in oggetto funziona solo se entrambə ə genitorə hanno una nazionalità o un domicilio entro i confini dell'Unione europea e se il loro legame è stato sancito da un matrimonio valido ai fini di legge.
949	Siete appena uscitə dalla vostra vecchia prigione, non entrate in un'altra.
950	Tuttavia non va dimenticato che il calcio è di enorme interesse per milioni di cittadinə europeə.
